Word,NumId

Proclivity,1

Tendency,1

Inclination,1

Propensity,1

Predilection,1

Relegation,2

Demotion,2

Degrade,2

Tamper,3

Tinker,4

Strengthen,5

Bolster,5

Support,5

Reinforce,5

Reinvigorate,5

Expunge,6

Obliterate,6

Eradicate,6

Destroy,7

Efface,6

Eliminate,6

Abolish,6

Extirpate,6

Annihilate,7

Altercation,8

Strife,8

Clash,8

Conflict,8

Discord,8

Dispute,8

Scuffle,8

Brawl,8

Tussle,8

Skirmish,8

Scrimmage,8

Ruckus,8

Vandalize,7

Jeopardise,7

Decimate,6

Devastate,7

Demolish,7

Dillapidate,9

Sabotage,9

Deteriorate,9

Ruin,9

Depreceate,9

Decay,9

Damage,9

Ravage,9

Crumble,9

Wrecke,9

Moulder,9

Decrepit,9

Worn out,9

Tumbledown (buildings/big structures),9

Ramshackle (building/vehicle),9

Rickety (building/equipment),9

Shambles,10

Chaos,10

Mess,10

Disarray,10

Havoc,10

Disorder,10

Effectuate,11

Promulgate ,11

Enforce,12

Impose,12

Compel,13

Oblige,13

Impel,13

Exact,13

Constrain,13

Exact,14

Precise,14

Accurate,14

Correct,14

Wrong,-14

False ,15

Fake,15

Incorrect,-14

Faulty,-14

Flawed,-14

Genuine,-15

True ,-15

Real,-15

Errorenous,-14

Imprecise,-14

Original,-15

Authentic,-15

Bone fide,-15

Actual,-15

Untrue,15

Comply,16

Agree,16

Consent,16

Accede,16

Accord (formal),16

Assent,16

Infer,17

Imply,17

Deduce,17

Conclude,17

Complicit,18

Profuse,19

Plenty,19

Abundant,19

Copious,19

Surplus,19

Excess,19

Surfeit,19

Extra,19

Abase,20

Degrade,20

Denigrate,20

Humiliate,20

Vilify,20

Disparage,20

Derogate,20

Belittle,20

Lambast,20

Excoriate,20

Venerate,-21

Adulate,-21

Esteem,-21

Exalt,-21

Acclaim,-21

Glorify,-21

Extol,-20

Honour,-21

Disrespect,21

Respect,-21

Praise,-20

Compliment,-20

Applaud,21

Commend,-20

Admire,-21

Appraise,-20

Laud,21

Condemn,21

Criticize,21

Insult,20

Berate,-21

Revere,-21

Offend,-20

Abuse,-20

Deplore,21

Denounce,21

Censure,21

Revile,21

Reproach,20

Reprove,20

Lambast,21

Tribute,-21

Accolade,-21

Homage,-21

Abuse,21

Reprove,21

Reproach,21

Adversity,32

Hostility,32

Trouble,31

Difficulty,31

Hardship,31

Vengeance,24

Distress,31

Rancour,24

Opulent,22

Sumptuous,23

Resplendent,23

Posh,23

Affluent,22

Prosperous,22

Wealthy,22

Cheap,-23

Affordable,-23

Inexpensive,-23

Expensive,23

Impoverished,-22

Destitute,-22

Poor,-22

Indigent,-22

Impecunious,-22

Penurious,-22

Lavish,23

Extravagant,23

Low-cost,-23

Resentment,24

Malice,24

Spite,24

Acrimony,24

Grudge,24

Indignation,25

Umbrage,25

Affront,25

Exasperation,25

Pique,25

Vexation,30

Severe dissatisfaction,25

Annoyanace,30

Disgruntled,25

Discontented,25

Aggrieved,25

Implore,26

Plead,26

Beseech,26

Appeal,26

Solicit,26

Exhort,26

Urge,26

Request,26

Beg,26

Order,-26

Command,-26

Dictate,-26

Adjure,26

Encourage,27

Urge,27

Enjoin,27

Urge,28

Desire,28

Recommend,29

Advise,29

Counsel,29

Suggest,29

Advocate,29

Impulse,28

Wish,28

Longing,28

Yearning,28

Fancy,28

Craving,28

Hankering,28

Suffering,31

Crisis,32

Hinder,33

Impede,33

Inhibit,33

Obstruct,33

Thwart,34

Curb,35

Foil,34

Preclude,34

Restrict,36

Censor,36

Restrain,35

Prevent,34

Occlude,33

Fetter,35

Obturate (clinical),33

Forestall,34

Deter,35

Suppress,35

Block,33

Restrain,34

Curtail,35

Curtail,37

Prohibit,36

Forbid,36

Interdict,36

Bar/Debar/Ban,36

Proscribe,36

Permit,-36

Increase,-37

Allow,-36

Grant,-36

Enable,-36

Entitle,-36

Thrive,-9

Prosper,-9

Flourish,-9

Grow,-37

Grow,-9

Proliferate,-37

Enrich,-9

Ameliorate,41

Develop,-9

Improve,41

Tarnish,9

Cripple,43

Decrease,37

Reduce,37

Allure/lure,42

Entice,42

Attract,42

Repel,-42

Deteriorate,-41

Degenerate,-41

Degrade,-41

Tempt,42

Repulse,-42

Assiduous,39

Diligent,39

Hardworking,39

Indolent,-39

Lazy,-39

Forsake,46

Sacrifice,46

Renounce,46

Abjure (formal),46

Revoke,64

Refrain,40

Abstain,40

Refuse,47

Reject,47

Repudiate,47

Alleviate,50

Mitigate,50

Blame,-69

Accuse,-69

Acquit,69

Absolve,69

Vindicate,69

Contrary,-52

Favourable,52

Concede,-47

Proceed,77

Advance,77

Progress,77

Recede,-77

Approach,77

Deprive,38

Spare,69

Divest,38

Admit,-47

Radiant,23

Devoid,38

Bereft,38

Lack,38

Strip,38

Industrious,39

Laborious,39

Sedulous,39

Idle,-39

Languid,-39

Torpid,-45

Sluggish,-45

Lethargic,-45

Forbear,40

Desist,40

Hold back,40

Soar,-37

Rise,-37

Surge,-37

Spike,-37

Impair,43

Debiliate,43

Weaken,43

Weak,44

Feeble,44

Frail,44

Decrepit,44

Infirm,44

Sturdy,-44

Strapping,-44

Brawny,-44

Robust,-44

Powerful,-44

Vigorous,-44

Energentic,45

Vigorous,45

Active,45

Inactive,-45

Ignore,55

Avoid,63

Disregard,55

Decline,47

Repeal,64

Withdraw,65

Abandon,46

Desert,46

Leave,46

Accept,-47

Turn down (an offer),47

Spurn (strongly),47

Dismiss,47

Receive,48

Accept,48

Give,-48

Provide,-48

Deny,47

Decline,37

Decrement,37

Dispatch,49

Send,49

Discharge,49

Dismiss,49

Obtain,-46

Append,54

Subside,50

Intensify,-50

Assuage,50

Relieve,51

Allay,51

Mollify,50

Amplify,-50

Augment,-50

Cure,51

Facilitate,-33

Simplify,-33

Easen,-33

Help,-33

Assist,-33

Rebuff,46

Abnegate,46

Abdicate,46

Relinquish,46

Achieve,-46

Attain,-46

Gain,-46

Acquire,-46

Conducive,52

Adverse,-52

Propituous,52

Advantageous,52

Facilitative,52

Hostile,-52

Antagonistic,-52

Critical,-52

Inimical,-52

Harmful,-52

Malicious,-52

Pernicious,-52

Injurious,-52

Detrimental,-52

Deleterious,-52

Malignant,-52

Beneficial,52

Benign,53

Benevolent,53

Malignant,-53

Malevolent,-53

Vicious,-53

Cruel,-53

Malicious,-53

Adjoin,54

Attach,54

Affix,54

Avert,34

Stave off,34

Discern,58

Decadence,55

Depravity,55

Degeneracy,55

Temperance,56

Recognise,58

Self-control,56

Abstinence,57

Abstention,57

Continence,56

Composure,56

Perceive,58

Apprehend,58

Comprehend,58

Apprehend,60

Seize,61

Detain,60

Fathom,58

Arrest,60

Realise,58

Stubborn,66

Firm,67

Unwavering,67

Unyielding,67

Rigid,67

Obdurate,66

Adamant,66

Ample,19

Bountiful,19

Sufficient,59

Enough,59

Adequate,59

Meagre,-19

Scarce,-19

Sparse,-19

Deficient,-59

Scant,-19

Exiguous,-19

Grasp,58

Grasp,61

Elude,63

Evade,63

Elude,62

Evade,62

Escape,62

Flee,62

Circumvent,0

Submit,-65

Abrogate,64

Cancel,64

Quash,64

Annul (nullify),64

Rescind,64

Obstinate,66

Implacable,66

Stiff,67

Inflexible,67

Soft,-67

Malliable,-67

Flexible,-67

Stringent (laws),67

Strict (manner),67

Rigorous,67

Lenient,-67

Harsh,67

Stern,67

Tough,67

Marciless,67

Grim,67

Gruff (voice),68

Hoarse,68

Coarse,68

Strident,68

Austere,67

Flinty,67

Lax,-67

Austere,68

Harsh,68

Rough,68

Soft,-68

Stridulous,68

Smooth,-68

Allege,-69

Reprieve,69

Exonerate,69

Exempt,69

Sporadic,70

Infrequent,70

Occasional,70

Intermittent,70

Continuous,71

Disrupt,72

Acknowledge,-47

Abnegate,47

Rebuff,47

Confess,-47

Profess,-47

Interrupt,72

Disturb,72

Impede,72

Interminable,73

Endless,71

Ceaseless,71

Fitful,70

Scattered,70

Incessant,71

Perennial,73

Perpetual,73

Eternal,73

Relentless,71

Transitory,-73

Transient,-73

Fleeting,-73

Ephemeral,-73

Regular,-70

Systematic,-70

Uniform,-70

Remiss,74

Negligent,74

Careless,74

Callaous,75

Insensitive,75

Ruthless,75

Insensible,75

Compassionate,-75

Sensible,-75

Heedless,76

Inattentive,76

Careful,-74

Conscientious,-74

Dedicated,-74

Retreat,-77

Retrocede,-77

Stultify,34

Smother,78

Suppress,78

Stultify,78

Establish,79
